id	KAT2A	Type
CGGA_499	6.588116233	Tumor
CGGA_500	6.594657708	Tumor
CGGA_501	6.597915789	Tumor
CGGA_502	6.600331249	Tumor
CGGA_503	6.601054897	Tumor
CGGA_504	6.609253359	Tumor
CGGA_505	6.609483682	Tumor
CGGA_506	6.620033403	Tumor
CGGA_507	6.620718378	Tumor
CGGA_508	6.62094662	Tumor
CGGA_509	6.62913601	Tumor
CGGA_510	6.630269239	Tumor
CGGA_511	6.631401452	Tumor
CGGA_512	6.631967178	Tumor
CGGA_513	6.634904878	Tumor
CGGA_514	6.644461506	Tumor
CGGA_515	6.645522724	Tumor
CGGA_516	6.646587844	Tumor
CGGA_517	6.646699658	Tumor
CGGA_518	6.651204152	Tumor
CGGA_519	6.654279853	Tumor
CGGA_520	6.658828385	Tumor
CGGA_521	6.665014673	Tumor
CGGA_522	6.665124868	Tumor
CGGA_523	6.666666584	Tumor
CGGA_524	6.683611043	Tumor
CGGA_525	6.684153873	Tumor
CGGA_526	6.688163581	Tumor
CGGA_527	6.689677456	Tumor
CGGA_528	6.693414106	Tumor
CGGA_529	6.693777424	Tumor
CGGA_530	6.696575019	Tumor
CGGA_531	6.70183063	Tumor
CGGA_532	6.70698251	Tumor
CGGA_533	6.710789697	Tumor
CGGA_534	6.711108492	Tumor
CGGA_535	6.712807373	Tumor
CGGA_536	6.71799603	Tumor
CGGA_537	6.721478463	Tumor
CGGA_538	6.725161494	Tumor
CGGA_539	6.730090449	Tumor
CGGA_540	6.734687428	Tumor
CGGA_541	6.735521448	Tumor
CGGA_542	6.735625662	Tumor
CGGA_543	6.738436191	Tumor
CGGA_544	6.741759113	Tumor
CGGA_545	6.746933745	Tumor
CGGA_546	6.750234422	Tumor
CGGA_547	6.754964088	Tumor
CGGA_548	6.755781228	Tumor
CGGA_549	6.756092477	Tumor
CGGA_550	6.762433708	Tumor
CGGA_551	6.763147658	Tumor
CGGA_552	6.763963107	Tumor
CGGA_553	6.765632781	Tumor
CGGA_554	6.766609688	Tumor
CGGA_555	6.76884478	Tumor
CGGA_556	6.769960845	Tumor
CGGA_557	6.773756961	Tumor
CGGA_558	6.775446229	Tumor
CGGA_559	6.777134373	Tumor
CGGA_560	6.782192075	Tumor
CGGA_561	6.783979561	Tumor
CGGA_562	6.788384923	Tumor
CGGA_563	6.788784649	Tumor
CGGA_564	6.789683573	Tumor
CGGA_565	6.792276875	Tumor
CGGA_566	6.800322053	Tumor
CGGA_567	6.801113866	Tumor
CGGA_568	6.802300656	Tumor
CGGA_569	6.804670896	Tumor
CGGA_570	6.805164137	Tumor
CGGA_571	6.805328519	Tumor
CGGA_572	6.805662284	Tumor
CGGA_573	6.80624859	Tumor
CGGA_574	6.812147455	Tumor
CGGA_575	6.816455853	Tumor
CGGA_576	6.816651341	Tumor
CGGA_577	6.818604555	Tumor
CGGA_578	6.832193155	Tumor
CGGA_579	6.834604386	Tumor
CGGA_580	6.834989756	Tumor
CGGA_581	6.840948013	Tumor
CGGA_582	6.841906396	Tumor
CGGA_583	6.845732675	Tumor
CGGA_584	6.850213796	Tumor
CGGA_585	6.851961223	Tumor
CGGA_586	6.855721871	Tumor
CGGA_587	6.861677698	Tumor
CGGA_588	6.864127497	Tumor
CGGA_589	6.870324968	Tumor
CGGA_590	6.878168944	Tumor
CGGA_591	6.884946405	Tumor
CGGA_592	6.894815251	Tumor
CGGA_593	6.896142514	Tumor
CGGA_594	6.900041185	Tumor
CGGA_595	6.905063343	Tumor
CGGA_596	6.906065384	Tumor
CGGA_597	6.906065384	Tumor
CGGA_598	6.911335768	Tumor
CGGA_599	6.917396728	Tumor
CGGA_600	6.920011139	Tumor
CGGA_601	6.921990883	Tumor
CGGA_602	6.931932553	Tumor
CGGA_603	6.934606117	Tumor
CGGA_604	6.935131517	Tumor
CGGA_605	6.93594078	Tumor
CGGA_606	6.938517137	Tumor
CGGA_607	6.938934332	Tumor
CGGA_608	6.946038404	Tumor
CGGA_609	6.952198945	Tumor
CGGA_610	6.954567149	Tumor
CGGA_611	6.962167972	Tumor
CGGA_612	6.966342038	Tumor
CGGA_613	6.978524205	Tumor
CGGA_614	6.980757791	Tumor
CGGA_615	6.980929442	Tumor
CGGA_616	6.985726223	Tumor
CGGA_617	6.987093394	Tumor
CGGA_618	6.993482359	Tumor
CGGA_619	6.99518064	Tumor
CGGA_620	6.996368081	Tumor
CGGA_621	6.999078047	Tumor
CGGA_622	7.025168003	Tumor
CGGA_623	7.03559802	Tumor
CGGA_624	7.036501737	Tumor
CGGA_625	7.042250939	Tumor
CGGA_626	7.043871599	Tumor
CGGA_627	7.043871599	Tumor
CGGA_628	7.044034886	Tumor
CGGA_629	7.044361398	Tumor
CGGA_630	7.045593042	Tumor
CGGA_631	7.046807261	Tumor
CGGA_632	7.047621881	Tumor
CGGA_633	7.050467917	Tumor
CGGA_634	7.071171869	Tumor
CGGA_635	7.073073778	Tumor
CGGA_636	7.080571601	Tumor
CGGA_637	7.08206851	Tumor
CGGA_638	7.083564537	Tumor
CGGA_639	7.08539427	Tumor
CGGA_640	7.090598147	Tumor
CGGA_641	7.095623943	Tumor
CGGA_642	7.098285788	Tumor
CGGA_643	7.114188039	Tumor
CGGA_644	7.123144123	Tumor
CGGA_645	7.136189412	Tumor
CGGA_646	7.136568834	Tumor
CGGA_647	7.142170994	Tumor
CGGA_648	7.143152597	Tumor
CGGA_649	7.15045289	Tumor
CGGA_650	7.153900195	Tumor
CGGA_651	7.155246584	Tumor
CGGA_652	7.160915573	Tumor
CGGA_653	7.16255186	Tumor
CGGA_654	7.165150684	Tumor
CGGA_655	7.165669808	Tumor
CGGA_656	7.167701392	Tumor
CGGA_657	7.175502117	Tumor
CGGA_658	7.184802	Tumor
CGGA_659	7.187014837	Tumor
CGGA_660	7.187136834	Tumor
CGGA_661	7.188448284	Tumor
CGGA_662	7.193680514	Tumor
CGGA_663	7.208461385	Tumor
CGGA_664	7.211967508	Tumor
CGGA_665	7.218691687	Tumor
CGGA_666	7.222431251	Tumor
CGGA_667	7.23372272	Tumor
CGGA_668	7.236496051	Tumor
CGGA_669	7.246167027	Tumor
CGGA_670	7.251166067	Tumor
CGGA_671	7.254487806	Tumor
CGGA_672	7.255524061	Tumor
CGGA_673	7.270693854	Tumor
CGGA_674	7.276887683	Tumor
CGGA_675	7.283095944	Tumor
CGGA_676	7.300730152	Tumor
CGGA_677	7.302362274	Tumor
CGGA_678	7.304821939	Tumor
CGGA_679	7.329354179	Tumor
CGGA_680	7.341856471	Tumor
CGGA_681	7.34450472	Tumor
CGGA_682	7.348488705	Tumor
CGGA_683	7.350027527	Tumor
CGGA_684	7.351116393	Tumor
CGGA_685	7.351308448	Tumor
CGGA_686	7.353994163	Tumor
CGGA_687	7.3833535	Tumor
CGGA_688	7.406420722	Tumor
CGGA_689	7.410092597	Tumor
CGGA_690	7.414849363	Tumor
CGGA_691	7.416396636	Tumor
CGGA_692	7.419018702	Tumor
CGGA_693	7.41928076	Tumor
CGGA_694	7.428696855	Tumor
CGGA_695	7.434433978	Tumor
CGGA_696	7.43585782	Tumor
CGGA_697	7.452602629	Tumor
CGGA_698	7.462411395	Tumor
CGGA_699	7.463453657	Tumor
CGGA_700	7.473978206	Tumor
CGGA_701	7.487417051	Tumor
CGGA_702	7.490860911	Tumor
CGGA_703	7.493139806	Tumor
CGGA_704	7.516788066	Tumor
CGGA_705	7.522242695	Tumor
CGGA_706	7.526967201	Tumor
CGGA_707	7.534291927	Tumor
CGGA_708	7.539604442	Tumor
CGGA_709	7.587080619	Tumor
CGGA_710	7.589774427	Tumor
CGGA_711	7.593162084	Tumor
CGGA_712	7.596383943	Tumor
CGGA_713	7.641339821	Tumor
CGGA_714	7.66523126	Tumor
CGGA_715	7.675524787	Tumor
CGGA_716	7.692298274	Tumor
CGGA_717	7.70637773	Tumor
CGGA_718	7.712688084	Tumor
CGGA_719	7.733694166	Tumor
CGGA_720	7.803931235	Tumor
CGGA_721	7.815284736	Tumor
CGGA_722	7.816392722	Tumor
CGGA_723	7.825705618	Tumor
CGGA_724	7.850783904	Tumor
CGGA_725	7.86621114	Tumor
CGGA_726	7.912947014	Tumor
CGGA_727	7.92828557	Tumor
CGGA_728	7.941970823	Tumor
CGGA_729	7.953460613	Tumor
CGGA_730	7.989385439	Tumor
CGGA_731	8.009518896	Tumor
CGGA_732	8.084807199	Tumor
CGGA_733	8.092857694	Tumor
CGGA_734	8.095669343	Tumor
CGGA_735	8.127384896	Tumor
CGGA_736	8.157920011	Tumor
CGGA_737	8.162230738	Tumor
CGGA_738	8.182484115	Tumor
CGGA_739	8.193421029	Tumor
CGGA_740	8.195639824	Tumor
CGGA_741	8.223848365	Tumor
CGGA_742	8.275978746	Tumor
CGGA_743	8.2946053	Tumor
CGGA_744	8.363622942	Tumor
CGGA_745	8.369756026	Tumor
CGGA_746	8.501405783	Tumor
CGGA_747	8.719753154	Tumor
CGGA_748	9.365096993	Tumor
CGGA_749	10.03288729	Tumor
